cluster_id	0_3001.tsv	0_3002.tsv	0_3003.tsv	0_3004.tsv	0_3005.tsv	0_3006.tsv	0_3007.tsv	0_3008.tsv	0_3009.tsv	0_3010.tsv	0_3012.tsv	0_3013.tsv	0_3014.tsv	0_3015.tsv	0_3016.tsv	0_3017.tsv	0_3018.tsv	0_3019.tsv	0_3020.tsv	0_3021.tsv	0_3022.tsv	0_3023.tsv	0_3024.tsv	0_3025.tsv	1_3001.tsv	1_3002.tsv	1_3003.tsv	1_3004.tsv	1_3005.tsv	1_3006.tsv	1_3007.tsv	1_3008.tsv	1_3009.tsv	1_3010.tsv	1_3012.tsv	1_3013.tsv	1_3014.tsv	1_3015.tsv	1_3016.tsv	1_3017.tsv	1_3018.tsv	1_3019.tsv	1_3020.tsv	1_3021.tsv	1_3022.tsv	1_3023.tsv	1_3024.tsv	1_3025.tsv
11	6.5351346e-06	0.00010741445	0.0	0.0	0.0	1.6254346e-05	0.0	0.0	0.0013419882	1.303003e-07	0.0	0.0	0.0	0.0	7.525113e-05	0.0	0.0	2.8515578e-05	0.0	0.0	8.7243956e-05	0.0	7.795189e-05	0.0	1.8025348e-05	0.0001404095	0.0	0.0	0.0	2.5158703e-05	0.0	0.0	0.00145054	1.3813801e-05	0.0	0.0	0.0	2.8993946e-07	2.0703721e-06	0.0	0.0	0.0	0.0	0.0	2.862808e-07	0.0	4.7281323e-05	0.0
12	0.0002953266	0.00010282388	0.0011153332	0.009777817	0.00013971118	1.3740501e-08	6.696017e-05	0.0	1.9405691e-08	1.2041753e-06	0.0003277091	0.000515398	0.0	0.0	0.0	4.8999623e-06	9.730078e-05	8.036803e-07	0.0	0.0	7.6391524e-07	0.0006995764	0.0003016889	0.0024038388	5.174758e-05	9.228106e-05	0.0	0.00033242203	3.928679e-05	6.890368e-08	0.000112968926	0.0	4.682091e-08	0.00011782222	0.00046143192	1.9784542e-05	0.0	1.2131261e-08	4.7614996e-08	4.442061e-06	9.3936364e-08	4.157175e-05	2.9183195e-05	5.0316785e-06	3.8384267e-05	0.0003847367	0.00020083852	0.0005092556
13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016098297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5636263e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0023702383	0.0	0.0	4.0033848e-07	0.0	1.6275852e-06	0.0	0.0	0.0
14	1.8221592e-06	8.730241e-08	5.4952743e-05	0.0	0.0	4.815681e-07	0.004298822	0.0	0.011367966	0.0	0.0	6.2907316e-07	4.79688e-07	0.0	4.695931e-07	0.0	0.008363078	1.8636243e-08	0.0	9.918656e-07	0.0	2.7443788e-08	6.717803e-08	9.725905e-08	1.6891782e-06	1.3081018e-07	0.0010328266	0.0	0.0	1.4422964e-06	3.0218619e-06	5.043248e-08	0.010568066	6.044818e-07	0.0	0.0	1.261698e-06	1.0655781e-07	1.8613152e-07	2.622651e-07	0.007997911	9.884826e-07	0.0	5.6091295e-07	4.8561463e-07	0.0	0.0	4.4229466e-05
15	2.0908014e-06	2.6504273e-07	0.00024016507	0.0012651455	0.0	0.0	2.4873768e-07	0.0	0.0	6.92392e-06	9.127295e-06	0.00045747802	0.011185286	1.6353899e-05	0.0	1.1100076e-05	3.7943475e-05	4.1183835e-06	0.0	1.9350823e-08	9.975552e-06	1.3492571e-06	1.3842284e-06	0.001305859	1.2417082e-06	8.765578e-06	7.909004e-06	0.0012285915	4.6541672e-08	0.0	3.175001e-08	0.0	0.0	0.00021581566	1.8640312e-05	0.00010288733	0.0031854645	8.340062e-07	0.0	7.5153043e-06	5.2163483e-05	4.65977e-06	2.6517462e-09	9.7059365e-09	0.005750638	1.2077571e-07	1.4755882e-08	0.0007113859
16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3485475e-07	0.0	0.0	0.0	0.0	0.0	0.0026216484	0.0	0.0	1.96001e-07	0.0	0.0	0.0	0.007625806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.6556015e-07	0.0	0.0	0.0	0.0	0.0	0.0060720807	0.0	5.450802e-10	1.4361909e-07	0.0	0.0	1.6331882e-07	0.0034472013	0.0	5.495118e-05	0.0
17	7.790118e-06	0.00010819059	0.0	0.0	0.0	1.826521e-05	0.0	0.0	5.107112e-05	2.1460923e-07	0.0	0.0	0.0	0.0	6.6729684e-05	0.0	0.0	1.9605104e-05	0.0	0.0	0.0017324572	0.0	8.4544205e-05	0.0	1.9063558e-05	0.00014616737	0.0	0.0	0.0	2.8549019e-05	0.0	0.0	5.4569766e-05	1.2289987e-05	0.0	0.0	0.0	0.0	1.4600731e-06	0.0	0.0	0.0	0.0	0.0	4.803179e-05	0.0	4.6770707e-05	0.0
18	1.5279976e-08	1.11616005e-08	6.047927e-08	0.0	0.0	2.5421944e-08	2.4381035e-07	1.1265801e-08	3.6370917e-10	0.0	0.0	1.2552436e-09	0.0	0.0	1.650815e-09	4.581879e-08	0.00096114253	6.696927e-08	0.0	0.0	8.578087e-09	0.0	1.080612e-09	0.0	3.5520042e-08	6.338534e-09	1.0995738e-07	0.0	1.1830602e-08	7.336448e-08	1.3049379e-07	2.5770959e-09	1.2788887e-08	1.0624384e-09	0.0	0.0	2.6077663e-08	1.0072252e-08	1.104926e-09	3.8369084e-08	0.0016901897	4.2268645e-08	2.657733e-08	1.2809182e-08	1.3764534e-08	0.0	0.0	6.269907e-09
19	1.8558038e-07	1.9972786e-07	0.0	0.0	0.0	0.0	0.007900403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6582113e-07	0.0	0.0	0.0	0.0	0.0	0.0	2.4642435e-07	0.0	0.0	0.0	0.00060473947	2.0977251e-07	0.0041184938	0.0	0.0	2.588748e-08	0.0	0.0	0.0	1.3353089e-09	0.0	2.9609874e-08	3.4437988e-07	0.00039740565	0.00026151873	0.0	0.0	0.0	0.0	0.00013875273
20	2.1477233e-07	0.00038289174	1.6576229e-07	0.0	3.18322e-06	3.3095984e-07	7.5985625e-08	3.3697553e-08	5.602663e-06	0.0	0.0	5.5597646e-08	0.0	0.0	3.209089e-06	1.8273922e-05	0.0	0.008715381	0.0	0.0017027913	0.000510855	1.5284845e-08	1.5744055e-07	0.0	0.0012151889	0.0014606395	0.00011954988	0.0	4.847485e-06	1.6376817e-06	2.0109367e-07	6.407874e-08	1.9862496e-06	6.4727845e-07	1.0110592e-05	0.0	3.4042895e-09	9.758036e-08	3.4173759e-06	0.00184263	0.0035754854	0.006346361	9.2137986e-07	0.0060194917	0.0037413838	2.607684e-07	6.7142087e-09	2.0984051e-07
21	4.2996337e-05	0.0022176604	0.0	0.0	0.0	8.1790306e-05	0.0	0.0	8.772399e-05	4.6122366e-07	0.0	0.0	0.0	0.0	0.00026013496	0.0	0.0	4.091651e-05	0.0	0.0	0.00016889877	0.0	0.0017106493	0.0	0.000100607576	0.003040373	0.0	0.0	0.0	0.0001327246	0.0	0.0	9.5267875e-05	3.3588076e-05	2.620017e-07	0.0	0.0	0.0	7.4542654e-06	0.0	0.0	0.0	0.0	0.0	3.1032287e-06	0.0	0.0010650064	0.0
22	0.001980975	2.673704e-07	8.2806224e-07	8.1740995e-07	0.0	0.0	2.495963e-07	0.0017492682	0.00023791695	0.0	3.9799623e-08	0.0	3.522446e-08	1.5679184e-07	1.3607269e-07	5.4181314e-06	0.0021200848	0.0013253675	0.0	2.4090994e-07	0.0	0.018829059	5.2768485e-07	0.0042473082	0.0005395304	9.286138e-08	6.179575e-08	6.1257737e-07	1.1873632e-08	0.0	2.59587e-07	0.00022684336	3.6463207e-05	0.0	3.951299e-07	0.0	2.606669e-08	2.7401791e-08	6.502525e-07	0.00010404997	3.442729e-05	0.0011888514	4.049469e-08	1.0857699e-06	3.059279e-08	0.011460737	4.851717e-07	0.039251458
