run_accession	sample_accession	experiment_accession	study_accession	fastq_ftp
ERR2017599	SAMEA104142288	ERX2077181	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2017599/ERR2017599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2017599/ERR2017599_2.fastq.gz
ERR2017600	SAMEA104142293	ERX2077182	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2017600/ERR2017600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2017600/ERR2017600_2.fastq.gz
ERR2017612	SAMEA104142302	ERX2077194	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/002/ERR2017612/ERR2017612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/002/ERR2017612/ERR2017612_2.fastq.gz
ERR2017613	SAMEA104142290	ERX2077195	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/003/ERR2017613/ERR2017613_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/003/ERR2017613/ERR2017613_2.fastq.gz
ERR2017618	SAMEA104142289	ERX2077200	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2017618/ERR2017618_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2017618/ERR2017618_2.fastq.gz
ERR2017619	SAMEA104142303	ERX2077201	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2017619/ERR2017619_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2017619/ERR2017619_2.fastq.gz
ERR2017621	SAMEA104142277	ERX2077203	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/001/ERR2017621/ERR2017621_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/001/ERR2017621/ERR2017621_2.fastq.gz
ERR2017623	SAMEA104142275	ERX2077205	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/003/ERR2017623/ERR2017623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/003/ERR2017623/ERR2017623_2.fastq.gz
ERR2017630	SAMEA104142268	ERX2077212	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2017630/ERR2017630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2017630/ERR2017630_2.fastq.gz
ERR2017642	SAMEA104142256	ERX2077224	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/002/ERR2017642/ERR2017642_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/002/ERR2017642/ERR2017642_2.fastq.gz
ERR2017644	SAMEA104142254	ERX2077226	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2017644/ERR2017644_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2017644/ERR2017644_2.fastq.gz
ERR2017645	SAMEA104142253	ERX2077227	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2017645/ERR2017645_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2017645/ERR2017645_2.fastq.gz
ERR2017649	SAMEA104142249	ERX2077231	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2017649/ERR2017649_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2017649/ERR2017649_2.fastq.gz
ERR2017652	SAMEA104142322	ERX2077234	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/002/ERR2017652/ERR2017652_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/002/ERR2017652/ERR2017652_2.fastq.gz
ERR2017656	SAMEA104142279	ERX2077238	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/006/ERR2017656/ERR2017656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/006/ERR2017656/ERR2017656_2.fastq.gz
ERR2017661	SAMEA104142247	ERX2077243	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/001/ERR2017661/ERR2017661_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/001/ERR2017661/ERR2017661_2.fastq.gz
ERR2017666	SAMEA104142243	ERX2077248	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/006/ERR2017666/ERR2017666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/006/ERR2017666/ERR2017666_2.fastq.gz
ERR2017667	SAMEA104142242	ERX2077249	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/007/ERR2017667/ERR2017667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/007/ERR2017667/ERR2017667_2.fastq.gz
ERR2017669	SAMEA104142241	ERX2077251	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2017669/ERR2017669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2017669/ERR2017669_2.fastq.gz
ERR2017673	SAMEA104142239	ERX2077255	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/003/ERR2017673/ERR2017673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/003/ERR2017673/ERR2017673_2.fastq.gz
