run_accession	sample_accession	experiment_accession	study_accession	fastq_ftp
ERR321255	SAMEA1969126	ERX294388	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321255/ERR321255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321255/ERR321255_2.fastq.gz
ERR321260	SAMEA2151677	ERX294393	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321260/ERR321260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321260/ERR321260_2.fastq.gz
ERR321264	SAMEA2159429	ERX294397	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321264/ERR321264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321264/ERR321264_2.fastq.gz
ERR321266	SAMEA2159429	ERX294399	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321266/ERR321266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321266/ERR321266_2.fastq.gz
ERR321269	SAMEA2163504	ERX294402	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321269/ERR321269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321269/ERR321269_2.fastq.gz
ERR321275	SAMEA2155310	ERX294408	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321275/ERR321275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321275/ERR321275_2.fastq.gz
ERR321281	SAMEA2157192	ERX294414	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321281/ERR321281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321281/ERR321281_2.fastq.gz
ERR321282	SAMEA2157192	ERX294415	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321282/ERR321282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321282/ERR321282_2.fastq.gz
ERR321290	SAMEA2146731	ERX294423	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321290/ERR321290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321290/ERR321290_2.fastq.gz
ERR321291	SAMEA2146731	ERX294424	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321291/ERR321291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321291/ERR321291_2.fastq.gz
ERR321299	SAMEA2151391	ERX294432	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321299/ERR321299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321299/ERR321299_2.fastq.gz
ERR321302	SAMEA2151391	ERX294435	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321302/ERR321302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321302/ERR321302_2.fastq.gz
ERR321304	SAMEA1966821	ERX294437	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321304/ERR321304_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321304/ERR321304_2.fastq.gz
ERR321305	SAMEA1966821	ERX294438	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321305/ERR321305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321305/ERR321305_2.fastq.gz
ERR321309	SAMEA2146682	ERX294442	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321309/ERR321309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321309/ERR321309_2.fastq.gz
ERR321310	SAMEA2146682	ERX294443	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321310/ERR321310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321310/ERR321310_2.fastq.gz
ERR321320	SAMEA2145068	ERX294453	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321320/ERR321320_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321320/ERR321320_2.fastq.gz
ERR321321	SAMEA2145068	ERX294454	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321321/ERR321321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321321/ERR321321_2.fastq.gz
ERR321322	SAMEA2147216	ERX294455	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321322/ERR321322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321322/ERR321322_2.fastq.gz
ERR321324	SAMEA2147216	ERX294457	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321324/ERR321324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321324/ERR321324_2.fastq.gz
ERR321325	SAMEA2147216	ERX294458	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321325/ERR321325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321325/ERR321325_2.fastq.gz
ERR321326	SAMEA2147216	ERX294459	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321326/ERR321326_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321326/ERR321326_2.fastq.gz
ERR321328	SAMEA2144588	ERX294461	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321328/ERR321328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321328/ERR321328_2.fastq.gz
ERR321336	SAMEA2162880	ERX294469	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321336/ERR321336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321336/ERR321336_2.fastq.gz
